Name	Set	ImageFile	Rarity	Type	Keywords	Allegiance	Cost	Asset	Attack	Armor	Structure	Speed	Mass	Armaments	Text
Burke	Arsenal	AR013	Uncommon	Unit		Inner Sphere	1+2L		4	2	3	Slow	75 tons	3 PPCs	Vehicle (Activates, attacks, guards, and blocks like a 'Mech. If damaged, roll a die. On a 6, scrap Vehicle.) If Burke attacks and is blocked, it may deal 1 of its damage to the target. Burke cannot block unless guarding.
Carpet Bombing	Arsenal	AR014	Common	Mission											Play only if you have Munitions in play. Each 'Mech and Vehicle receives 2 damage.
Castle Defense	Arsenal	AR015	Common	Mission		Inner Sphere									Play only when blocking. Prevent up to 2 damage to each guarding 'Mech.
Cauldron-Born Prime	Arsenal	AR016	Common	Unit	Omni	Clan	6+3A+2M		5	2	7	Moderate	65 tons	Gauss Rifle, 10 LRMs, AC/5	If Cauldron-Born Prime attacks and is blocked, it may deal up to 2 of its damage to the target.
Cavalry	Arsenal	AR017	Common	Unit		Inner Sphere	1+1L+2T		2	0	3	Fast	25 tons	12 SRMs	Vehicle (Activates, attacks, guards, and blocks like a 'Mech. If damaged, roll a die. On a 6, scrap Vehicle.) VTOL (Vehicles with VTOL cannot be blocked by patrolling 'Mechs or by patrolling vehicles without VTOL.) If Cavalry is fully constructed when you reveal it, you may immediately place it in your Patrol region.
Chameleon (CLN-7W)	Arsenal	AR018	Uncommon	Unit		Inner Sphere	3+2A		3	1	6	Moderate	50 tons	Lg Laser, 2 Med Lasers	Jump (-1 attack: +1 initiative)
Chaos March Veteran	Arsenal	AR019	Uncommon	Command		Liao - Marik	0+3T		1						Pilot: +1 initiative, +1 attack Mech piloted by Chaos March Veteran gets an additional +2 attack. Use this ability only during battle.
Combat Drop	Arsenal	AR020	Uncommon	Command			1+2L								Scrap Combat Drop when it is revealed. Activate Combat Drop only during battle. Choose one of your untapped 'Mechs for every two construction counters above the cost of Combat Drop. Each of these 'Mechs joins the battle and receives 1 structure damage.
Command Circuit	Arsenal	AR021	Rare	Command			1+2P		0	0	7				{R}, {T}: Roll a die. Use this ability only during your Deploy phase. 1-2: Scrap Command Circuit. 3-5: Draw one card and you may make an additional deployment this turn. 6: Draw three cards and you may make an additional three deployments this turn.
Coordinator Theodore Kurita	Arsenal	AR022	Rare	Command	Unique	Kurita	4+5P		1	4	2				Counts as Theodore Kurita while in play. Making a deployment costs each opponent an additional 0+2L. Tactics (If you have Tactics in play, add +1 to your initiative.)
Covert Elemental Point	Arsenal	AR023	Uncommon	Unit		Clan	1+3L		3	0	4	Slow			Battle Armor (Activates, attacks, guards, and blocks like a 'Mech, and cannot attack or block alone.) Jump (-1 attack: +1 initiative) AP (Covert Elemental Point deals +1 damage to any target other than a 'Mech.) Attacks or blocks at the speed of the fastest Omni Mech in the group accompanying it, if any. If Covert Elemental Point attacks and is blocked, it may deal 1 of its damage to the target.
Cyrano	Arsenal	AR024	Rare	Unit		Inner Sphere	0+1L+1T		1	0	1	Fast	30 tons	Lg Laser	Vehicle (Activates, attacks, guards, and blocks like a 'Mech. If damaged, roll a die. On a 6, scrap Vehicle.) VTOL (Vehicles with VTOL cannot be blocked by patrolling 'Mechs or by patrolling vehicles without VTOL.) If Cyrano is fully constructed when you reveal it, you may immediately place it in your Patrol region. You may deploy Cyrano revealed to gain an additional deployment this turn.
Daishi S (Dire Wolf)	Arsenal	AR025	Uncommon	Unit	Omni	Smoke Jaguar	15+4A+4L+4M		11	4	11	Slow	100 tons	Lg Laser, 5 Med Lasers, 8 SRMs, AC/20	Alpha Strike: +3 attack Jump (-1 attack: +1 initiative) AP (Daishi S deals +1 damage to any target other than a 'Mech.)
Dan Allard	Arsenal	AR026	Rare	Command	Unique - Mercenary	Inner Sphere	2+2P+2T		2						Pilot: +1 initiative, +2 attack Reassign any pilot you control to any 'Mech in a group that contains 'Mech piloted by Dan Allard. Use this ability only during a mission involving 'Mech piloted by Dan Allard.
Defensive Embankment	Arsenal	AR027	Uncommon	Command	Terrain - Enhancement		1								Play Defensive Embankment only in one of your regions. Activating Defensive Embankment scraps all other Terrain cards in that region. Each of your Vehicles gets +1 attack and +1 armor. Use this ability only during a mission whose target is in the region enhanced by Defensive Embankment.
Demolisher	Arsenal	AR028	Common	Unit		Inner Sphere	3+2L		2	3	5	Slow	80 tons	2 AC/20s	Alpha Strike: +4 attack Vehicle (Activates, attacks, guards, and blocks like a 'Mech. If damaged, roll a die. On a 6, scrap Vehicle.)
Demon	Arsenal	AR029	Uncommon	Unit		Inner Sphere	3+2L		4	2	6	Slow	60 tons	Gauss Rifle, 2 Med Lasers, 6 SRMs	Vehicle (Activates, attacks, guards, and blocks like a 'Mech. If damaged, roll a die. On a 6, scrap Vehicle.) If Demon attacks and is blocked, it may deal 1 of its damage to the target.
Desert Wasteland	Arsenal	AR030	Common	Command	Terrain - Enhancement		1								Play Desert Wasteland only in one of your regions. Activating Desert Wasteland scraps all other Terrain cards in that region. Each Vehicle receives 1 damage. Damage from a 'Mech's Overheat option is applied to that 'Mech's structure instead of its armor. Use this ability only during a mission whose target is in the region enhanced by Desert Wasteland.
Diamond Will's	Arsenal	AR031	Rare	Command	Resource		1			0	7				{R}, {R}, {T}: Roll a die. Use this ability only during your Deploy phase: 1: Scrap Diamond Will's. 2-5: Gain a number of resources equal to the die roll. 6: Once this turn, you may activate a card ignoring its base construction cost.
Doc Trevena	Arsenal	AR032	Rare	Command	Unique	Steiner	2+2T		2	4	1				{T}: Prevent up to 2 damage to each of your fast Mechs. Use this ability only during a mission.
Elizabeth O'Bannon	Arsenal	AR033	Rare	Command	Unique	Inner Sphere	3+2T		2						Pilot: +1 initiative, +2 attack When you activate Elizabeth O'Bannon you may search your Stockpile, Scrapheap, and/or hand for Tanya O'Bannon. You may deploy and activate that card without paying its construction cost. This does not count as a deployment. If you search your Stockpile, shuffle it afterwards.
Enhanced IR Sensors	Arsenal	AR034	Uncommon	Command	Enhancement		0+3T		2						Play Enhanced IR Sensors only on a 'Mech. That 'Mech can attack or block any 'Mech with Overheat regardless of the other 'Mech's speed.
Ferro-Fibrous Upgrade	Arsenal	AR035	Common	Command	Enhancement		0+2L								Play Ferro-Fibrous Upgrade only on a Vehicle. If Vehicle enhanced by Ferro-Fibrous Upgrade receives damage, prevent up to 3 of that damage and scrap Ferro-Fibrous Upgrade. You may deploy Ferro-Fibrous Upgrade revealed to make an additional deployment this turn. Draw a card when you activate Ferro-Fibrous Upgrade.
Final Push	Arsenal	AR036	Uncommon	Mission		Inner Sphere									Play only when blocked. Each of your 'Mechs and Vehicles may deal up to an additional 2 of its damage to the target.
Fire Falcon A	Arsenal	AR037	Rare	Unit	Omni	Jade Falcon	1+2M		2	0	4	Fast	25 tons	10 LRMs, AC/2	
Fire Falcon C	Arsenal	AR038	Uncommon	Unit	Omni	Jade Falcon	4		4	0	4	Fast	25 tons	Med Laser, 12 SRMs	AP (Fire Falcon C deals +1 damage to any target other than a 'Mech.)
Fire Falcon Prime	Arsenal	AR039	Common	Unit	Omni	Clan	5+1A+1T		5	0	4	Fast	25 tons	3 Med Lasers, 8 SRMs	Overheat 1: +1 attack
Fire From Cover	Arsenal	AR040	Common	Mission											Choose one of your 'Mechs. That 'Mech gets +1 attack. Prevent 1 damage to that 'Mech.
Front-Loaded Supply Lines	Arsenal	AR041	Common	Mission											Play only if you have Logistics in play. Each of your 'Mechs and Vehicles gains"Alpha Strike: +2 attack."
Galleon-3058	Arsenal	AR042	Uncommon	Unit		Inner Sphere	1+2L		2	0	5	Moderate	30 tons	3 Med Lasers	Vehicle (Activates, attacks, guards, and blocks like a 'Mech. If damaged, roll a die. On a 6, scrap Vehicle.) You may deploy Galleon-3058 revealed to gain an additional deployment this turn.
Grendel D	Arsenal	AR043	Common	Unit	Omni	Smoke Jaguar	6+4A+4T		4	1	6	Fast	45 tons	PPC, 2 Med Lasers, 6 SRMs	Overheat 2: +2 attack Jump (-1 attack: +1 initiative)
Grizzly	Arsenal	AR044	Common	Unit		Ghost Bear	8+4A+4T		7	2	9	Slow	70 tons	Gauss Rifle, Lg Laser, 10 LRMs	Jump (-1 attack: +1 initiative) If Grizzly attacks and is blocked, it may deal up to 2 of its damage to the target.
Hanse Davion's Legacy	Arsenal	AR045	Rare	Command	Unique - Legacy	Davion	2+3P								If you control no Davion cards in play, scrap Hanse Davion's Legacy; otherwise, Hanse Davion's Legacy cannot be scrapped from play. Choose an attacking 'Mech. That 'Mech gets +2 armor. Use this ability only during a mission.
Holovid Frameup	Arsenal	AR046	Rare	Command	Subterfuge	Liao - Steiner	2+4P								Scrap Holovid Frame up when it is revealed. Choose an opponent and roll a die:1-2: Scrap a Unique card of that player's choice and scrap three cards from your Stockpile.3-6: Scrap a Unique card of your choice. That player scraps three cards from his Stockpile.
Hot-Loaded LRMs	Arsenal	AR047	Uncommon	Command	Enhancement	Inner Sphere	0+2T								Play Hot-Loaded LRMs only on a 'Mech or Vehicle with the Missile option. Enhanced 'Mech or Vehicle gets +X attack, where X is equal to the number of missiles it can fire. At end of each mission involving enhanced 'Mech or Vehicle, roll a die. If the die roll is less than or equal to the amount of structure damage taken during the mission by that 'Mech or Vehicle, scrap it.
J. Edgar (MG Variant)	Arsenal	AR048	Common	Unit		Inner Sphere	1+1L+1M		1	0	5	Fast	25 tons	Med Laser, 4 MGs	Vehicle (Activates, attacks, guards, and blocks like a 'Mech. If damaged, roll a die. On a 6, scrap Vehicle.) AP (J. Edgar deals +1 damage to any target other than a 'Mech.) If J. Edgar is fully constructed when you reveal it, you may immediately place it in your Patrol region.
Jade Monkey	Arsenal	AR049	Rare	Command	Enhancement	Inner Sphere	0+1P								Play Jade Monkey only on a Pilot or Command card. If card enhanced by Jade Monkey goes to your Scrapheap, you may put that card into your hand afterwards. You may deploy Jade Monkey revealed to make an additional deployment this turn.
Janos Marik's Legacy	Arsenal	AR050	Rare	Command	Unique - Legacy	Marik	1+3P								If you control no Marik cards in play, scrap Janos Marik's Legacy; otherwise, Janos Marik's Legacy cannot be scrapped from play. As long as you control any Marik cards other than Janos Marik's Legacy, each of your 'Mechs cost 1 resource less to activate.
Jerrard Cranston	Arsenal	AR051	Rare	Command	Unique	Davion	2+4P		0	3	2				Counts as Galen Cox while in play. Jerrard Cranston does not untap as normal during your Untap phase. {T}: Choose an opponent. Opponent may not play Mission cards until the beginning of your next turn. Use this ability only during your Deploy phase.{R}{R}: Untap Jerrard Cranston. Use this ability only during your Deploy phase.
Jump Troops	Arsenal	AR052	Common	Command		Inner Sphere	1+2L+2T		2	1	2				{T}: +1 initiative and the target gets +2 attack. If the target is damaged, attacking player may choose to redirect 3 damage to Jump Troops, scrapping it. Use this ability only during battle. You may deploy Jump Troops revealed to make an additional deployment this turn.
Katrina Steiner's Legacy	Arsenal	AR053	Rare	Command	Unique - Legacy	Steiner	2+3P								If you control no Steiner cards in play, scrap Katrina Steiner's Legacy; otherwise, Katrina Steiner's Legacy cannot be scrapped from play. {T}: Make an additional deployment this turn. Use this ability only during your Deploy phase.
Keith Smith	Arsenal	AR054	Rare	Command	Unique	Davion - St. Ives	2+2L		0	4	1				{T}: Look at the top three cards of an opponent's Stockpile and arrange them in any order. Use this ability only during your Deploy phase.
Kodiak	Arsenal	AR055	Rare	Unit		Ghost Bear	15+4A+4L+4M		7	3	11	Slow	100 tons	Lg Laser, 8 Med Lasers, 12 SRMs, AC/20	Overheat 7: +7 attack Alpha Strike: +3 attack
Lightning	Arsenal	AR056	Rare	Unit		Inner Sphere	2+1L+1T		3	0	3	Fast	35 tons	2 Med Lasers	Vehicle (Activates, attacks, guards, and blocks like a 'Mech. If damaged, roll a die. On a 6, scrap Vehicle.) If Lightning is fully constructed when you reveal it, you may immediately place it in your Patrol region.
Linebacker C	Arsenal	AR057	Common	Unit	Omni	Wolf	7+1A+1T		5	2	8	Moderate	65 tons	Lg Laser, 4 Med Lasers, AC/5	Overheat 1: +1 attack
Mad Cat Pryde (Timber Wolf)	Arsenal	AR058	Rare	Unit	Omni	Jade Falcon	11+2A+2M+2T		3	2	9	Moderate	75 tons	2 Lg Lasers, 40 LRMs	Missile 3 Overheat 4: +4 attack Jump (-1 attack: +1 initiative)
Mad Cat S (Timber Wolf)	Arsenal	AR059	Uncommon	Unit	Omni	Wolf	10+4A+4L+4M		8	2	9	Moderate	75 tons	Lg Laser, 2 Med Lasers, 24 SRMs	Overheat 1: +1 attack Jump (-1 attack: +1 initiative)
Magi	Arsenal	AR060	Rare	Unit		Inner Sphere	1+2L		2	2	7	Slow	70 tons	3 Med Lasers	Vehicle (Activates, attacks, guards, and blocks like a 'Mech. If damaged, roll a die. On a 6, scrap Vehicle.)
Maximillian Liao's Legacy	Arsenal	AR061	Rare	Command	Unique - Legacy	Liao	2+3P								If you control no Liao cards in play, scrap Maximillian Liao's Legacy; otherwise, Maximillian Liao's Legacy cannot be scrapped from play. You may ignore construction costs when you activate Subterfuge cards.
Mech Recall	Arsenal	AR062	Rare	Command	Subterfuge	Liao	4+4P								Scrap 'Mech Recall when it is revealed. Choose a patrolling 'Mech. Put that 'Mech in its owner's hand.
MechWarrior Peter	Arsenal	AR063	Uncommon	Command	Unique	Wolf	1+3T								Pilot: +1 initiative Mech piloted by MechWarrior Peter may deal any amount of its damage to the target. Use this ability only if that 'Mech is fast and only if blocked.
Nice Grouping!	Arsenal	AR064	Uncommon	Mission											Play only during battle. Choose one of your 'Mechs and one of your opponent's Mechs. All missiles fired from your 'Mech at opponent's 'Mech deal damage equal to the die roll instead of normal missile damage. You may still modify those die rolls as if they were normal missile rolls.
Night Gyr C	Arsenal	AR065	Common	Unit	Omni	Jade Falcon - Smoke Jaguar	9+5A+5T		8	2	9	Slow	75 tons	2 Lg Lasers, 2 Med Lasers, 3 AC/2s	Jump (-1 attack: +1 initiative) If Night Gyr C attacks and is blocked, it may deal up to 2 of its damage to the target.
Nightshade	Arsenal	AR066	Rare	Unit		Inner Sphere	1+2T		1	0	2	Fast	25 tons	Med Laser	Vehicle (Activates, attacks, guards, and blocks like a 'Mech. If damaged, roll a die. On a 6, scrap Vehicle.) VTOL (Vehicles with VTOL cannot be blocked by patrolling 'Mechs or by patrolling vehicles without VTOL.)ECM (Each 'Mech in a group that includes at least one Mech with ECM gets +1 armor.)If Nightshade is fully constructed when you reveal it, you may immediately place it in your Patrol region.
Nobori-nin C (Huntsman)	Arsenal	AR067	Common	Unit	Omni	Clan	8+2A+2M+2T		5	1	7	Moderate	50 tons	35 LRMs, AC/5	Missile 2 Overheat 1: +1 attack Jump (-1 attack: +1 initiative)
Ontos (LRM Variant)	Arsenal	AR068	Rare	Unit		Inner Sphere	2+2A+1L		0	3	4	Slow	95 tons	50 LRMs	Missile 3 Vehicle (Activates, attacks, guards, and blocks like a 'Mech. If damaged, roll a die. On a 6, scrap Vehicle.)
Ontos-3058	Arsenal	AR069	Common	Unit		Inner Sphere	6+3L		6	3	6	Slow	95 tons	7 Med Lasers, 15 LRMs, 10 SRMs	Missile 1 Vehicle (Activates, attacks, guards, and blocks like a 'Mech. If damaged, roll a die. On a 6, scrap Vehicle.)
Partisan-3058	Arsenal	AR070	Uncommon	Unit		Inner Sphere	2+1L+2T		2	3	4	Slow	80 tons	2 AC/10s	Alpha Strike: +2 attack Vehicle (Activates, attacks, guards, and blocks like a 'Mech. If damaged, roll a die. On a 6, scrap Vehicle.) C3 (Each 'Mech with C3 in a group that includes at least one other 'Mech with C3 gets +2 attack.)
Pillager (PLG-3Z)	Arsenal	AR071	Rare	Unit		Inner Sphere	11+4L+4M		8	4	11	Slow	100 tons	2 Gauss Rifles, Lg Laser, 4 Med Lasers	Jump (-1 attack: +1 initiative) If Pillager attacks and is blocked, it may deal up to 2 of its damage to the target.
Pinto	Arsenal	AR072	Uncommon	Unit		ComStar	2+2T		2	0	4	Fast	30 tons	3 Med Lasers	Vehicle (Activates, attacks, guards, and blocks like a 'Mech. If damaged, roll a die. On a 6, scrap Vehicle.)VTOL (Vehicles with VTOL cannot be blocked by patrolling 'Mechs or by patrolling vehicles without VTOL.) If Pinto is fully constructed when you reveal it, you may immediately place it in your Patrol region.
Pouncer D	Arsenal	AR073	Uncommon	Unit	Omni	Wolf	8+4A+4M+4T		6	1	5	Moderate	40 tons	6 Med Lasers, 12 SRMs	Overheat 3: +4 attack Jump (-1 attack: +1 initiative)
Primus Sharilar Mori	Arsenal	AR074	Rare	Command	Unique	ComStar	2+6P		0	4	4				Counts as Sharilar Mori while in play. {T}: Scrap a Resource card from your hand to draw a card. Use this ability only during your Deploy phase. Logistics (If you have Logistics in play, you may restock a card from your hand at the end of your turn.)
Puma	Arsenal	AR075	Rare	Unit		Inner Sphere	5+2A+2L		2	3	7	Slow	95 tons	PPC, 2 Med Lasers, 40 LRMs	Missile 3 Vehicle (Activates, attacks, guards, and blocks like a 'Mech. If damaged, roll a die. On a 6, scrap Vehicle.)
Ramming Speed!	Arsenal	AR076	Uncommon	Mission											Choose a Vehicle you control. Roll a die: 1-2: No effect. 3-6: That Vehicle gets +(3-6) attack. Scrap that Vehicle at end of mission.
Resource Broker	Arsenal	AR077	Uncommon	Command	Resource		1+2L			3	3				{T}: Put three investment counters on Resource Broker. Use this ability only during your Deploy phase. {T}: Remove any number of investment counters from Resource Broker to put an equal number of construction counters on any card in your Under Construction region. Show that card to all players. Use this ability only during your Deploy phase.
Saladin	Arsenal	AR078	Common	Unit		Inner Sphere	0+2M		1	0	2	Fast	35 tons	AC/20	Alpha Strike: +2 attack Vehicle (Activates, attacks, guards, and blocks like a 'Mech. If damaged, roll a die. On a 6, scrap Vehicle.) You may deploy Saladin revealed to gain an additional deployment this turn.
Schrek	Arsenal	AR079	Common	Unit		Inner Sphere	2+1L+2T		4	3	3	Slow	80 tons	3 PPCs	Vehicle (Activates, attacks, guards, and blocks like a 'Mech. If damaged, roll a die. On a 6, scrap Vehicle.) If Schrek attacks and is blocked, it may deal 1 of its damage to the target.
Secret Buildup	Arsenal	AR080	Uncommon	Command		St. Ives	2+3L								Scrap Secret Buildup when it is revealed. Look at the top four cards of your Stockpile, choose up to two of those cards which aren't Mission cards, show them to all players, and deploy them. These do not count as deployments. Scrap the rest of those cards.
Shadow Cat A	Arsenal	AR081	Common	Unit	Omni	Smoke Jaguar	5+2T		5	1	6	Moderate	45 tons	2 Lg Lasers, 6 SRMs	Jump (-1 attack: +1 initiative)
Shadow Cat B	Arsenal	AR082	Rare	Unit	Omni	Smoke Jaguar - Steel Viper	7+3A+3M+3T		3	1	6	Moderate	45 tons	2 Med Lasers, 30 LRMs	Missile 3 Jump (-1 attack: +1 initiative) ECM (Each 'Mech in a group that includes at least one Mech with ECM gets +1 armor.)
Skirmisher Elemental Point	Arsenal	AR083	Uncommon	Unit		Clan	1+3L		3	0	4	Slow			Battle Armor (Activates, attacks, guards, and blocks like a 'Mech, and cannot attack or block alone.) Jump (-1 attack: +1 initiative)AP (Skirmisher Elemental Point deals +1 damage to any target other than a 'Mech.)Attacks or blocks at the speed of the fastest Omni Mech in the group accompanying it, if any. {T}: Deal 1 structure damage to a 'Mech that has damage counters on it. Use this ability only during your Missions phase, but not during a mission.
Sloth Squad	Arsenal	AR084	Uncommon	Unit		Davion - Steiner	1+2L		2	0	2	Slow			Battle Armor (Activates, attacks, guards, and blocks like a 'Mech, and cannot attack or block alone.) Sloth Squad cannot block unless guarding. Choose an engaged 'Mech and roll a die:1-3: That 'Mech receives 1-3 structure damage.4-6: No effect. Use this ability only during battle. You may deploy Sloth Squad revealed to gain an additional deployment this turn. Draw a card when you activate Sloth Squad.
Spartan (SPT-N2)	Arsenal	AR085	Common	Unit		Inner Sphere	7+1A+1T		4	3	8	Moderate	80 tons	PPC, 3 Med Lasers	Overheat 1: +1 attack Anti-missile (Each missile assigned to a 'Mech in a group that includes Spartan deals -1 damage.) If Spartan attacks and is blocked, it may deal 1 of its damage to the target.
Spector (SPR-5F)	Arsenal	AR086	Common	Unit		Inner Sphere	3+2A+2T		2	0	6	Fast	35 tons	Lg Laser, 2 Med Lasers	Jump (-1 attack: +1 initiative) ECM (Each 'Mech in a group that includes at least one Mech with ECM gets +1 armor.)
SRM Carrier	Arsenal	AR087	Uncommon	Unit		Inner Sphere	5+1L+1M		9	1	1	Slow	60 tons	60 SRMs	Vehicle (Activates, attacks, guards, and blocks like a 'Mech. If damaged, roll a die. On a 6, scrap Vehicle.)
Steel Talons	Arsenal	AR088	Rare	Mission		Jade Falcon									Roll a die. 1: Opponent chooses a 'Mech. 2-6: Choose a 'Mech. Remove the chosen 'Mech from battle.
Strength of the Bear	Arsenal	AR089	Common	Mission		Ghost Bear									Double the total armor value of each of your 'Mechs.
Suicide Troops	Arsenal	AR090	Uncommon	Command	Enhancement	Kurita - Liao	2+3T								Play Suicide Troops only on a Vehicle. If Vehicle enhanced by Suicide Troops attacks a site and is not blocked, put a guerrilla counter on that site. During your opponent's Repair/Reload phase, for each guerrilla counter on each site, Suicide Troops deals 2 damage to that site. During his or her Deploy phase, opponent may tap any number of 'Mechs and/or Vehicles to remove that many guerrilla counters from any combination of sites and scrap twice that many cards from his or her Stockpile.
Takashi Kurita's Legacy	Arsenal	AR091	Rare	Command	Unique - Legacy	Kurita	3+3P								If you control no Kurita cards in play, scrap Takashi Kurita's Legacy; otherwise, Takashi Kurita's Legacy cannot be scrapped from play. Choose one of your attacking 'Mechs. That 'Mech gets +2 attack. Use this ability only during a mission.
Tanya O'Bannon	Arsenal	AR092	Rare	Command	Unique	Inner Sphere	3+2T		2						Pilot: +1 initiative, +2 attack When you activate Tanya O'Bannon you may search your Stockpile, Scrapheap, and/or hand for Elizabeth O'Bannon. You may deploy and activate that card without paying its construction cost. This does not count as a deployment. If you search your Stockpile, shuffle it afterwards.
Thor M (Summoner)	Arsenal	AR093	Rare	Unit	Omni	Jade Falcon	6+3A+3L+3T		6	2	6	Moderate	70 tons	PPC, 6 SRMs, AC/10	Jump (-1 attack: +1 initiative) If Thor M attacks and is blocked, it may deal 1 of its damage to the target.
Tormano Liao	Arsenal	AR094	Rare	Command	Unique	St. Ives - Steiner	2+3P		0	4	1				{T}: Tap or untap a Command card. Use this ability only during your Missions phase, but not during a mission.
Trial of Bloodright	Arsenal	AR095	Rare	Command		Clan	1+3P								Scrap Trial of Bloodright when it is revealed. Search your Stockpile for any Pilot card, deploy that card, and activate it without paying its construction cost. This does not count as a deployment. Shuffle your Stockpile afterwards.
Trial of Grievance	Arsenal	AR096	Common	Command		Clan	0								Scrap Trial of Grievance when it is revealed. Gain {A}, {L}, {M}, {P}, and {T} until end of turn. You may deploy Trial of Grievance revealed to make an additional deployment this turn. Draw a card when you activate Trial of Grievance.
Trial of Position	Arsenal	AR097	Uncommon	Command		Clan	1+3P								Scrap Trial of Position when it is revealed. Search your Stockpile for any 'Mech card, show that card to all players, and deploy it. This does not count as a deployment. Shuffle your Stockpile afterwards.
Trial of Possession	Arsenal	AR098	Uncommon	Command		Clan	7+4P								Scrap Trial of Possession when it is revealed. Gain control of any non-Unique Clan card an opponent controls and untap it.
Trial of Refusal	Arsenal	AR099	Rare	Command		Clan	1+3P								Scrap Trial of Refusal when it is revealed. Until the beginning of your next turn, Clan 'Mechs cannot go on missions. When you activate Trial of Refusal, gain an additional deployment this turn.
Uller S (Kit Fox)	Arsenal	AR100	Uncommon	Unit	Omni	Jade Falcon	3+2M+2T		5	0	4	Moderate	30 tons	Lg Laser, Med Laser, 4 SRMs	Jump (-1 attack: +1 initiative)
Unlikely Love Affair	Arsenal	AR101	Rare	Command			1								Scrap Unlikely Love Affair when it is revealed. Choose any Unique command card in play and restock it in its owner's deck. Draw a card when you activate Unlikely Love Affair.
